id,name,process_code,description,process_description
data/known_urgent/693706-2024,Sleep- en Bergingsdiensten,open,"De Gemeente Den Haag nodigt gekwalificeerde en ervaren partijen uit om deel te nemen aan deze aanbesteding voor het uitvoeren van sleep- en bergingsdiensten binnen de gemeentegrenzen. Deze diensten omvatten niet alleen het slepen en bergen van voertuigen en vaartuigen, maar ook andere gerelateerde activiteiten zoals het toepassen van wielklemmen, verwijdering van voertuigen, vaartuigen en andere objecten uit de openbare ruimte. Het beschikbaar stellen van opslagfaciliteiten en de vernietiging van vaartuigen en voertuigwrakken. 
",
data/known_urgent/534632-2024,PGO - Limburg-1 verlengingsovereenkomst,neg-wo-call,Verleningsovereenkomst met de zittende PGO aannemer teneinde een nieuwe opdrachtnemer voldoende tijd te geven voor de start van haar werkzaamheden in het onderhoudsgebied PGO Limburg-2 7 maanden,Verleningsovereenkomst met de zittende PGO aannemer teneinde een nieuwe opdrachtnemer voldoende tijd te geven voor de start van haar werkzaamheden in het onderhoudsgebied PGO Limburg-2
data/known_urgent/761993-2023,Noodbeluchting,neg-wo-call,Inzet tijdelijke noodbeluchting Tijdelijke Nood beluchtingsinstallatie,
data/known_urgent/639725-2023,Wijziging overeenkomst IT sourcing 2019,neg-wo-call,Wijziging van de overeenkomst IT sourcing 2019 35.0000.000,
data/known_urgent/596350-2023,Productie en Levering ME Kleding en protectie,neg-wo-call,"De Opdracht omvat de productie en Levering van kleding en protectie voor de medewerkers van de Mobiele Eenheid (ME) van de Politie. 12.100.000,00",
data/known_urgent/589621-2024,Inrichting Opvanglocaties,open,"Het gaat in deze aanbesteding om het leveren van meubels en witgoed ten behoeve van opvanglocaties voor ontheemden in de gemeente Den Haag, in twee percelen (perceel 1: meubels, perceel 2: witgoed). 
",
data/known_urgent/51165-2024,Inhuur Technisch en Ondersteunend Personeel Overbruggingsovereenkomst,neg-wo-call,"Het hoogheemraadschap van Rijnland en het hoogheemraadschap Schieland en de Krimpenerwaard (hierna: “Opdrachtgevers”) zijn voornemens om met de raamcontractanten voor de raamovereenkomsten “Inhuur van technisch en ondersteunend personeel” overbruggingsovereenkomsten te sluiten. De reden hiervoor is dat vanwege onvoorzienbare omstandigheden dwingende spoed is ontstaan bij tijdelijke overeenkomsten.
Er is in dit specifieke geval sprake van dwingende spoed, omdat Opdrachtgevers in de tussenliggende periode tussen de oude en de nieuw te sluiten raamovereenkomst wel technisch en ondersteunend personeel moeten inhuren voor de uitvoering van werkzaamheden in het kader van bedrijfsvoering en de wettelijke taak. In het bijzonder zou het grote gevolgen kunnen hebben voor de realisatie van projecten. De onvoorzienbare omstandigheid heeft zich voorgedaan dat Opdrachtgevers vertraging van (circa) twee maanden hebben opgelopen in verband met de aanbesteding (TenderNed nummer 438410) voor de inhuur van technisch en ondersteunend personeel. In het bijzonder is deze vertraging ontstaan door aanpassing van de perceelindeling. Daardoor sluiten de nieuw te sluiten raamovereenkomsten niet meer aan op de einddatum van de lopende raamovereenkomsten. 

Opdrachtgevers doen een beroep op dwingende spoed (ex artikel 2.32 lid 1, sub c, Aanbestedingswet 2012) om tijdelijke overeenkomsten, ter overbrugging van de periode tussen het initiële einde van de raamovereenkomsten en de start van de nieuw te sluiten raamovereenkomsten, te sluiten.",
data/known_urgent/763223-2023,Tijdelijke huisvesting basisschool Ter Apel,open,"De gemeente Westerwolde zoekt een aannemer voor het leveren van een tijdelijke huisvesting voor het onderbrengen van een basisschool. 

Om de beste leverancier te selecteren, is gekozen voor een openbare Europese aanbesteding. Het doel van deze aanbesteding is om één opdrachtnemer te selecteren voor het ontwerpen, bouwen en plaatsen van een tijdelijke huisvesting unit in Ter Apel. Een tijdelijke huisvesting ten behoeve van een basisschool",Op dit moment is er sprake van een ernstige tekortkoming aan het dak van de huidige basisschool. Dit is een onvoorzienbare gebeurtenissen voor de gemeente. Om het basisonderwijs te continueren is het noodzakelijk dat er zo snel mogelijk een tijdelijke huisvesting wordt gerealiseerd. De vaste termijnen die gelden bij andere Europese aanbestedingsprocedures zijn onverenigbaar met het dwingende spoed karakter van deze opdracht. Er is om deze reden gekozen voor een versnelde procedure waarbij kortere termijnen van reageren worden gehanteerd.
data/known_urgent/657407-2024,Raamovereenkomst levering pneumothorax ventielen (achteraf publicatie).,open,"Bij de publicatie van de Europese aanbesteding ""Raamovereenkomst levering decompressienaalden en 2 soorten
ventielpneumothorax"" zijn er 4 ongeldige inschrijvingen ingediend. Zie link Mercell: https://s2c.mercell.com/today/97626.

De Aanbestedende dienst naar aanleiding hiervan de raamovereenkomst niet rechtmatig kan/mag gunnen. Ook kan geconcludeerd worden dat de
Aanbestedende dienst niet had kunnen voorzien dat er in de onderhavige Europese openbare procedure vier ongeldige inschrijvingen zouden
worden ingediend. Dat zal slechts anders zijn indien er sprake is van opzettelijke fouten aan de zijde van Defensie, waarvan in de onderhavige
aanbestedingsprocedure geen sprake is. Voor de Aanbestedende dienst zijn de mogelijkheden om de termijnen te verkorten van de openbare
procedure, de niet open-openbare en de onderhandelingsprocedure met voorafgaande bekendmaking (zie artikel 2.71 tot en met 2.74
Aanbestedingswet) niet afdoende om te voldoen aan de directe vraag naar deze producten voor de bedrijfsvoering van de Aanbestedende dienst.
De Aanbestedende dienst doet derhalve een beroep op de uitzondering van dwingende spoed (artikel 2.32 lid 1 sub c Aanbestedingswet) om een
raamovereenkomst voor de duur van maximaal 6 maanden af te sluiten.

",
data/known_urgent/596365-2023,31191211: Verwijderen getijdencentrale Oosterscheldekering,neg-wo-call,Verwijdering van de getijdencentrale van de Oosterscheldekering. Zie het reeds ingevulde veld m.b.t. de korte beschrijving.,
data/known_urgent/100030-2024,31188205: Calamiteit A7 Prinses Margriettunnel,neg-wo-call,"Het onderzoeken, ontwerpen en realiseren van herstelwerkzaamheden aan de Prinses Margriettunnel in de A7. Zie het reeds ingevulde veld m.b.t. de korte beschrijving.",
data/known_urgent/104336-2024,Vrijwillige transparantie cateringdiensten en huisvesting vluchtelingen Gemeente Dinkelland ,neg-wo-call,"Besloten wordt om voor het verblijf van Oekraïense vluchtelingen en de bijbehorende cateringdiensten gebruik te blijven maken van het aanbod van Klooster Franciscanessen te Denekamp. De afspraken met het klooster zijn 30 juni 2022 gemaakt. Hierbij is destijds wegens dwingende spoed gebruik gemaakt van de onderhandelingsprocedure zonder aankondiging (artikel 2.32 Aanbestedingswet). Deze afspraken worden ook na afloop van dit jaar voortgezet en in een samenwerkingsovereenkomst nader uitgewerkt. 

Nederland heeft te maken met een vluchtelingencrisis. Sinds de oorlog tussen Oekraïne en Rusland is de vluchtelingenstroom alleen maar groter geworden. Gemeenten is daardoor gevraagd om (tijdelijk) een crisisnoodopvang te organiseren voor vluchtelingen. Gemeente Dinkelland huisvest momenteel circa 120 Oekraïense vluchtelingen in het klooster in Denekamp. De eigenaren van het klooster, de  Zusters van Denekamp (Franciscanessen van Thuine), hebben Huize Elisabeth en het oude Franciscushuis vrijwillig en belangeloos ter beschikking gesteld. De nonnen doen dit allemaal uit eigen initiatief en in het kader van humanitaire hulp. De vluchtelingen mogen hier verblijven en worden voorzien van maaltijden.","Motivatie voor vrijwillige transparantie 
Besloten wordt om voor het verblijf van Oekraïense vluchtelingen en de bijbehorende cateringdiensten gebruik te blijven maken van het aanbod van Klooster Franciscanessen te Denekamp. De afspraken met het klooster zijn 30 juni 2022 gemaakt. Hierbij is destijds wegens dwingende spoed gebruik gemaakt van de onderhandelingsprocedure zonder aankondiging (artikel 2.32 Aanbestedingswet). Deze afspraken worden ook na afloop van dit jaar voortgezet en in een samenwerkingsovereenkomst nader uitgewerkt. 
Samenvatting 

Nederland heeft te maken met een vluchtelingencrisis. Sinds de oorlog tussen Oekraïne en Rusland is de vluchtelingenstroom alleen maar groter geworden. Gemeenten is daardoor gevraagd om (tijdelijk) een crisisnoodopvang te organiseren voor vluchtelingen. Gemeente Dinkelland huisvest momenteel circa 120 Oekraïense vluchtelingen in het klooster in Denekamp. De eigenaren van het klooster, de  Zusters van Denekamp (Franciscanessen van Thuine), , hebben Huize Elisabeth en het oude Franciscushuis vrijwillig en belangeloos ter beschikking gesteld. De nonnen doen dit allemaal uit eigen initiatief en in het kader van humanitaire hulp. De vluchtelingen mogen hier verblijven en worden voorzien van maaltijden.
Binnen de gemeentelijke grenzen is er geen andere partij of locatie waar deze Oekraïense vluchtelingen ondergebracht kunnen worden en worden voorzien van eten voor het bedrag van €11,55 per persoon per dag (prijspeil 1-1-24). Daarnaast is het niet wenselijk om de gezinnen, vrouwen en kinderen te verplaatsen naar een andere locatie binnen of buiten de gemeentegrenzen.  

Gezien deze redenen is bij het beschikbaar krijgen van de hiervoor noodzakelijke verblijflocatie en cateringdiensten onder uitzondering afgeweken van de voor inkooptrajecten voorgeschreven regels en procedures op grond van het Inkoop- en aanbestedingsbeleid en de Aanbestedingswet 2012. Om te zorgen voor openheid en transparantie doen wij deze publicatie van vrijwillige transparantie.

Het resultaat is om de afspraken met het klooster te continueren. In de samenwerkingsovereenkomst met het klooster wordt een opzeggingstermijn van twee (2) maanden opgenomen en wordt ook vastgelegd dat het klooster, mocht al eerder duidelijk worden dat de opvang van de vluchtelingen niet zal worden voortgezet, de gemeente hiervan op de hoogte stelt.

"
data/known_urgent/788285-2023,Spoedopdracht t.b.v. Dijkversterkingsproject KIJK,neg-wo-call,Het hoogheemraadschap van Schieland en de Krimpenerwaard (HHSK) heeft een spoedopdracht ten behoeve van Dijkversterkingproject KIJK aan combinatieaannemers KIGO (Van Hattum Blankevoort BV en Boskalis Nederland BV) gegund op basis van een onderhandelingsprocedure zonder voorafgaande bekendmaking conform art. 2.32 lid 1 sub c AW. Werkzaamheden in december 2023 en januari 2024,
data/known_urgent/589861-2023,NetApp Storage zaakopslag t.b.v. het NFI,neg-wo-call,"Levering en installatie/configuratie van NetApp storage, inclusief support voor de duur van 5 jaar 1X NetApp FAS8300-HA
1X NetApp AFF C800 HA
2X NVIDIA Switches

1X 60 maanden Arrow support en NRD ten behoeve van NetApp FAS8300
1X 60 maanden Arrow support en NRD ten behoeve van NetApp AFF C800 
2X 60 maanden NetApp support ten behoeve van NVIDIA switches
1X Fixed Price Project: Installatie, configuratie, datamigratie en 4x per jaar adviesupdates, case bespreking indien er supportcases zijn geweest
1",
data/known_urgent/539362-2024,Vrijwillige transparantie vooraf- Opvang Oekraïense vluchtelingen hotel,neg-wo-call,"Het gaat om een vrijwillige transparantie vooraf.
De gemeente Rijswijk is voornemens om voor de periode 1 juli 2024 tot en met 30 juni 2025 (eenmalige verlenging mogelijk tot en met 31 december 2025) 10 hotelkamers af te nemen bij Savarin te Rijswijk voor de opvang van Oekraïense vluchtelingen. De opdrachtwaarde (incl. verlenging) bedraagt € 1.080.000,00. In het kader van transparantie, gelijkheid en
objectiviteit kondigen wij aan dat wij voornemens zijn te gunnen. In het geval belanghebbenden daartegen bezwaar hebben, kunnen zij
dit kenbaar maken binnen 20 dagen vanaf het moment van publicatie van deze aankondiging. Vanaf het moment dat gemeente Rijswijk voor de opvang van de Oekraïense vluchtelingen moest zorgen waren slechts twee partijen in beeld, Savarin en hotel Best Western (deze opdracht is reeds eerder aangekondigd). € 1.080.000","In het kader van transparantie, gelijkheid en objectiviteit hebben wij aangekondigd dat wij voornemens zijn te gunnen. In het geval belanghebbenden daartegen bezwaar hebben, konden zij dit kenbaar maken binnen 20 dagen vanaf het moment van publicatie 
van de vrijwillige transparantie. Vanaf het moment dat gemeente Rijswijk voor de opvang van de Oekraïense vluchtelingen moest zorgen waren slechts twee partijen in beeld, Savarin en hotel Best Western (deze opdracht is reeds eerder aangekondigd). De gemeente Rijswijk stelt het belang van Oekraïense ontheemden voorop. Hun traumatische ervaringen zorgen voor steeds meer zichtbare psychosociale problematiek. Zij kunnen slecht omgaan met wisselingen en hebben behoefte aan rust, vertrouwen, zekerheid en herkenbare ondersteuning van hoge kwaliteit. Rijswijk wil hen dat bieden. De huidige partner heeft aangetoond dat te kunnen en vangt al meer dan twee jaar een aantal Oekraïense vluchtelingen op. Deze vluchtelingen zullen in 2025 verhuizen naar een duurzamere opvanglocatie. Een extra verhuisbeweging naar een andere tussenlocatie wordt niet als wenselijk gezien. Wij hebben de voorwaarden gesteld dat: 
- de kamers een minimale oppervlakte van 25 m2 hebben; 
- er een receptie die 24 uur per dag bereikbaar is en 7 dagen per week is 
bemenst; 
- gratis wifi;
- huisdieren (in overleg) zijn toegestaan. 
Bovendien zorgt dit hotel voor eigen sociale beveiliging in het gebouw als aanspreekpunt voor de Oekraïense ontheemden. Kamers worden wekelijks schoongemaakt en voorzien van schoon bedlinnen en badtextiel. Housekeeping heeft tevens een signalerende taak om mogelijke overlast te signaleren en voorkomen. 
Oekraïense vluchtelingen voelen zich inmiddels thuis in deze tijdelijke opvang en zijn bekend met het lokale netwerk en de centrale ondersteuning die de gemeente op de locatie biedt. Bovendien staat de huidige partner huisdieren op de kamer toe, iets dat voor veel Oekraïense ontheemden een belangrijke wens is. Met de verdeling van de vluchtelingen wordt daar rekening mee gehouden omdat er in de regio geen of nauwelijks opvanglocaties zijn waar huisdieren zijn toegestaan. Deze locatie is daarmee vrijwel de enige locatie waar vluchtelingen met een huisdier terecht kunnen. Daarnaast zijn drie maaltijden per dag (afgestemd op de eetwensen van Oekraïense gasten) en dranken (koffie, thee, water, frisdrank op buffet) inbegrepen. Om deze en andere dwingende redenen van algemeen belang en daarmee samenhangende spoed komt een andere aanbieder of aanpak niet in beeld."
data/known_urgent/795676-2023,Warmtewisselaars en platenpakket,neg-wo-call,Levering 2 specifieke warmtewisselaars en platenpakket 2 warmtewisselaars en platenpakket,
data/known_urgent/741034-2023,Europese SAS procedure Beveilingsdiensten Vluchtelingenlocaties Gemeente Coevorden,open,"Sinds 2022 vangt de gemeente Coevorden vluchtelingen uit Oekraïne op locaties in Gees, Sleen en Coevorden. Beveiliging op deze locaties is benodigd en is in 2022 met spoed gerealiseerd. De overeenkomst met de huidige leverancier loopt op 1 november 2023 af. Hierom en omdat de situatie rondom de opvang van vluchtelingen aan verandering onderhevig is, wenst zij een adaptieve partner te contracteren die haar voorziet in de benodigde Diensten die benodigd zijn voor de beveiliging van haar opvanglocaties voor vluchtelingen. Vanaf 1 november 2023 vangt de gemeente Coevorden voor het overgrote deel gezinnen met huisdieren op, heeft zij nog steeds 215 bedden beschikbaar op haar opvanglocaties en wenst zij de opvanglocaties veilig te houden. Er vinden echter wel wijzigingen plaats die betrekking hebben op de locatie.
Globale aantallen en gewenste inzet van de beveiliging is te vinden in Bijlage H - Programma van Eisen",
data/known_urgent/339891-2024,Locatiemanagement opvang Oekraïense vluchtelingen,open,"Doel van deze vooraankondiging Het doel van deze vooraankondiging is om na te gaan welke partijen geïnteresseerd zijn om uitvoering te geven aan de opdracht “Locatiemanagement opvang Oekraïense vluchtelingen"". 
Daarnaast dient deze vooraankondiging als oproep tot mededinging. De opdracht zal worden gegund zonder nadere bekendmaking. De opdracht wordt gekwalificeerd als een dienst als bedoeld in bijlage XIV van richtlijn 2014/24/EU. 
De geraamde totale opdrachtwaarde (inclusief eventuele verlengingen) ligt boven de voor de procedure van sociale en andere specifieke diensten bepaalde drempelwaarde van € 750.000 exclusief btw. De procedure voor sociale en andere specifieke diensten zal derhalve gevolgd worden. De aanbestedende dienst zal aan alle partijen die naar aanleiding van deze vooraankondiging hun interesse in de opdracht kenbaar hebben gemaakt de aanbestedingsdocumenten toesturen.

Aanmelden kan tot uiterlijk 7 juni 2024 tot 12:00 uur, via de berichtenmodule van TenderNed Maximaal 600.000 euro per jaar",
data/known_urgent/97141-2024,Vrijwillige transparantie voor levering elektriciteit en gas voor het Collectief West-Brabant,neg-wo-call,"Door het stopzetten van alle Europese handelsactiviteiten door de huidige leverancier van Gas & Elektra vanaf 1-1-2024, wordt het huidige contract vroegtijdig beëindigd. 

Gezien het onverwacht stoppen met leveren door de huidige leverancier, de korte periode waarbinnen een nieuwe leverancier dient te worden gecontracteerd, de omvang van deze opdracht en de huidige marktontwikkelingen wordt de Onderhandelingsprocedure zonder bekendmaking toegepast op grond van dwingende spoed. Het uitgangspunt voor het contractvolume Elektriciteit voor 2024 bedraagt: 36.398.364 MWh.
Het uitgangspunt voor het contractvolume GvO’s voor 2024 bedraagt: 36.400 GvO’s

Het uitgangspunt voor het contractvolume  Gas voor 2024 bedraagt: 2.200.000 m³",
data/known_urgent/2169-2024,Opvang vluchtelingen op hotelschip,neg-wo-call,Huur schip voor opvang vluchtelingen en catering 5 miljoen Euro,"Dwingende spoed als gevolg van gebeurtenissen (vluchtelingencrisis) die door de aanbestedende dienst niet konden worden voorzien, volgens de in de richtlijn vermelde strikte voorwaarden."
data/known_urgent/684423-2024,Verlenging EA Grootschalige Werving,neg-wo-call,"NS is voornemens om de huidige en lopende raamovereenkomst ”grootschalige werving” met Randstad Sourceright met het kenmerk: 120345-2018,  destijds gepubliceerd op TenderNed d.d.: 17 maart 2018 (TN175719) te verlengen met 12 maanden. In  dit kader wordt er een overbruggingsovereenkomst gesloten. € 1.600.000,-","NS Groep N.V. maakt onderdeel uit van De Nederlandse Spoorwegen (hierna: 
NS). NS is voornemens om de huidige en lopende raamovereenkomst ”
grootschalige werving” met Randstad Sourceright met het kenmerk: 120345-
2018, destijds gepubliceerd op TenderNed d.d:17 maart 2018 (TN175719) te 
verlengen met 12 maanden. In dit kader wordt er een overbruggingsovereenkomst gesloten. De reden hiervoor is dat de termijnen 
voor de Europese Openbare procedure wegens dwingende spoed niet in acht kunnen worden genomen als gevolg van gebeurtenissen die door NS niet konden worden voorzien en niet aan NS zijn te wijten. Eind april 2024 heeft NS met de vakbonden overeenstemming bereikt over een nieuwe CAO, de CAO NS 2024 (CAO). De CAO geldt met terugwerkende kracht vanaf 1 januari 2024 en loopt tot 1 maart 2025. Nadien is bij de Ondernemingsraad (OR) met het oog op de CAO en opvolgende Europese Openbare aanbesteding “grootschalige werving” een adviesaanvraag ingediend. Voor de behandeling en afwikkeling 
van de adviesaanvraag van de OR en overleg met de vakbonden is meer tijd 
nodig dan voorzien. Hoewel tijdig is begonnen met de voorbereidingen van de aanbestedingsprocedure en publicatie van de Openbare procedure voorzien was in juni 2024, zodanig dat de huidige overeenkomst direct kon worden opgevolgd door de nieuwe overeenkomst, is door genoemde ontwikkelingen vertraging ontstaan en is de aanbestedingsprocedure ‘on hold’ gezet. Om te waarborgen dat de dienstverlening/bedrijfsvoering ononderbroken kan doorgaan, is NS dan ook genoodzaakt om een overbruggingsovereenkomst met Randstad Sourceright te verlengen. NS doet een beroep op dwingende spoed (ex artikel 3:36 lid 1 sub d Aanbestedingswet 2012) om te bewerkstelligen dat de dienstverlening/bedrijfsvoering doorgang kan vinden. Er is in dit specifieke 
geval sprake van dwingende spoed omdat de te leveren diensten voor NS gaan over de uitvoering van noodzakelijke functies en werkzaamheden. Het gaat hier namelijk om werving en selectie van personeelskrachten voor cruciale functies voor NS, o.a. de selectie van machinisten en conducteurs. De beoogde verlenging van de huidige en lopende raamovereenkomst is ter overbrugging van de periode na afloop van de huidige en lopende raamovereenkomst (31 dec ’24) en de start van de opvolgende raamovereenkomst (verwachting eind’ 25)."
